id,data,emoji
HOLY_FRAGMENT,,<:HOLY_FRAGMENT:828890349194969088>
ENCHANTED_ACACIA_LOG,,<:ENCHANTED_ACACIA_LOG:828890363480899615>
ENCHANTED_EGG,,<:ENCHANTED_EGG:828890378357833771>
SAND,,<:SAND:828890387946143774>
SOUL_FRAGMENT,,<:SOUL_FRAGMENT:828890401435156501>
ANCIENT_CLAW,,<:ANCIENT_CLAW:828890419408011284>
ENCHANTED_LAPIS_LAZULI,,<:ENCHANTED_LAPIS_LAZULI:828890435309142056>
ENCHANTED_GHAST_TEAR,,<:ENCHANTED_GHAST_TEAR:828890452773830666>
ENCHANTED_COCOA,,<:ENCHANTED_COCOA:828890471359053864>
CARROT_BAIT,,<:CARROT_BAIT:828890489377390613>
ENCHANTED_LEATHER,,<:ENCHANTED_LEATHER:828890507064115200>
ENCHANTED_SPONGE,,<:ENCHANTED_SPONGE:828890524617408522>
ENCHANTED_SHARK_FIN,,<:ENCHANTED_SHARK_FIN:828890541805928478>
HAY_BLOCK,,<:HAY_BLOCK:828890560538476584>
INK_SACK,,<:INK_SACK:828890578078662656>
ENCHANTED_ROTTEN_FLESH,,<:ENCHANTED_ROTTEN_FLESH:828890593497186325>
ENCHANTED_SPRUCE_LOG,,<:ENCHANTED_SPRUCE_LOG:828890616950685729>
ENCHANTED_GRILLED_PORK,,<:ENCHANTED_GRILLED_PORK:828890671862906921>
ENCHANTED_NETHER_STALK,,<:ENCHANTED_NETHER_STALK:828890714116456489>
ENCHANTED_REDSTONE_BLOCK,,<:ENCHANTED_REDSTONE_BLOCK:828890759645626419>
ENCHANTED_ANCIENT_CLAW,,<:ENCHANTED_ANCIENT_CLAW:828890777236668426>
ENCHANTED_QUARTZ_BLOCK,,<:ENCHANTED_QUARTZ_BLOCK:828890793837199402>
GREEN_CANDY,,<:GREEN_CANDY:828890811012874250>
ENCHANTED_REDSTONE,,<:ENCHANTED_REDSTONE:828890828579274753>
ENCHANTED_REDSTONE_LAMP,,<:ENCHANTED_REDSTONE_LAMP:828890847251922964>
GRAVEL,,<:GRAVEL:828890863915761684>
ENCHANTED_PACKED_ICE,,<:ENCHANTED_PACKED_ICE:828890881183580180>
ENCHANTED_PRISMARINE_SHARD,,<:ENCHANTED_PRISMARINE_SHARD:828890897499684876>
RECOMBOBULATOR_3000,,<:RECOMBOBULATOR_3000:828890916458332191>
ENCHANTED_IRON_BLOCK,,<:ENCHANTED_IRON_BLOCK:828890935483957329>
ENCHANTED_CARROT_STICK,,<:ENCHANTED_CARROT_STICK:828890950465355807>
ENCHANTED_GLOWSTONE,,<:ENCHANTED_GLOWSTONE:828890968836407297>
ENCHANTED_PORK,,<:ENCHANTED_PORK:828890985807085618>
NETHERRACK,,<:NETHERRACK:828890999789977691>
WHALE_BAIT,,<:WHALE_BAIT:828891008062324776>
SPONGE,,<:SPONGE:828891018451615744>
ENCHANTED_DARK_OAK_LOG,,<:ENCHANTED_DARK_OAK_LOG:828891028848902174>
YOUNG_FRAGMENT,,<:YOUNG_FRAGMENT:828891038009524284>
ENCHANTED_CLOWNFISH,,<:ENCHANTED_CLOWNFISH:828891045793497098>
ENCHANTED_GOLD,,<:ENCHANTED_GOLD:828891055075754005>
ENCHANTED_RAW_CHICKEN,,<:ENCHANTED_RAW_CHICKEN:828891064365744159>
ENCHANTED_WATER_LILY,,<:ENCHANTED_WATER_LILY:828891072867860510>
LOG:1,,<:LOG_1:828891082011836437>
TITANIUM_ORE,,<:TITANIUM_ORE:828891091243761695>
LOG:3,,<:LOG_3:828891101066297354>
LOG_2,,<:LOG_2:828891109568282695>
BLESSED_BAIT,,<:BLESSED_BAIT:828891121030660136>
ENCHANTED_GLOWSTONE_DUST,,<:ENCHANTED_GLOWSTONE_DUST:828891128677662741>
ENCHANTED_INK_SACK,,<:ENCHANTED_INK_SACK:828891138403991573>
ENCHANTED_CACTUS,,<:ENCHANTED_CACTUS:828890382871822366>
ENCHANTED_SUGAR_CANE,,<:ENCHANTED_SUGAR_CANE:828890396058583080>
ENCHANTED_COOKED_SALMON,,<:ENCHANTED_COOKED_SALMON:828890415385935903>
ENCHANTED_SEEDS,,<:ENCHANTED_SEEDS:828890431114313730>
LOG,,<:LOG:828890448621469747>
ENCHANTED_BONE_BLOCK,,<:ENCHANTED_BONE_BLOCK:828890467118481439>
ENCHANTED_ENDER_PEARL,,<:ENCHANTED_ENDER_PEARL:828890485346402344>
UNSTABLE_FRAGMENT,,<:UNSTABLE_FRAGMENT:828890502883573760>
PURPLE_CANDY,,<:PURPLE_CANDY:828890521081741312>
SPIKED_BAIT,,<:SPIKED_BAIT:828890537632595970>
ENCHANTED_FERMENTED_SPIDER_EYE,,<:ENCHANTED_FERMENTED_SPIDER_EYE:828890554796474371>
POLISHED_PUMPKIN,,<:POLISHED_PUMPKIN:828890573640564747>
ENCHANTED_GOLD_BLOCK,,<:ENCHANTED_GOLD_BLOCK:828890589721395241>
ENCHANTED_JUNGLE_LOG,,<:ENCHANTED_JUNGLE_LOG:828890609992859673>
ENCHANTED_FLINT,,<:ENCHANTED_FLINT:828890654708072458>
ENCHANTED_EMERALD_BLOCK,,<:ENCHANTED_EMERALD_BLOCK:828890704674816041>
ENCHANTED_CLAY_BALL,,<:ENCHANTED_CLAY_BALL:828890743573053460>
ENCHANTED_MUTTON,,<:ENCHANTED_MUTTON:828890773054554142>
ENCHANTED_IRON,,<:ENCHANTED_IRON:828890789894946826>
SUPER_COMPACTOR_3000,,<:SUPER_COMPACTOR_3000:828890807007969291>
MITHRIL_ORE,,<:MITHRIL_ORE:828890824594817054>
STOCK_OF_STONKS,,<:STOCK_OF_STONKS:828890841493667840>
ENCHANTED_HAY_BLOCK,,<:ENCHANTED_HAY_BLOCK:828890857854861332>
ENCHANTED_BONE,,<:ENCHANTED_BONE:828890876859383819>
ENCHANTED_PAPER,,<:ENCHANTED_PAPER:828890892499943425>
ENCHANTED_TITANIUM,,<:ENCHANTED_TITANIUM:828890911697403945>
ENCHANTED_DIAMOND_BLOCK,,<:ENCHANTED_DIAMOND_BLOCK:828890931293716552>
SPOOKY_BAIT,,<:SPOOKY_BAIT:828890946614591508>
SUPERIOR_FRAGMENT,,<:SUPERIOR_FRAGMENT:828890965279899709>
ENCHANTED_RABBIT_FOOT,,<:ENCHANTED_RABBIT_FOOT:828890981507923980>
LIGHT_BAIT,,<:LIGHT_BAIT:828890995168903188>
ENCHANTED_ICE,,<:ENCHANTED_ICE:828891003917303858>
OLD_FRAGMENT,,<:OLD_FRAGMENT:828891013267456050>
GREEN_GIFT,,<:GREEN_GIFT:828891023522529280>
PACKED_ICE,,<:PACKED_ICE:828891032674369536>
WATER_LILY,,<:WATER_LILY:828891041582809129>
LOG_2,,<:LOG_2:828891051057086474>
ENCHANTED_OBSIDIAN,,<:ENCHANTED_OBSIDIAN:828891060355858442>
ENCHANTED_COAL,,<:ENCHANTED_COAL:828891068681945088>
ENCHANTED_QUARTZ,,<:ENCHANTED_QUARTZ:828891077037654036>
ENCHANTED_COAL_BLOCK,,<:ENCHANTED_COAL_BLOCK:828891086142439444>
ENCHANTED_PRISMARINE_CRYSTALS,,<:ENCHANTED_PRISMARINE_CRYSTALS:828891094854926357>
DAEDALUS_STICK,,<:DAEDALUS_STICK:828891104538656768>
ENCHANTED_WET_SPONGE,,<:ENCHANTED_WET_SPONGE:828891114617962537>
ENCHANTED_RAW_FISH,,<:ENCHANTED_RAW_FISH:828891124868579348>
ENDER_STONE,,<:ENDER_STONE:828891134444568587>
JERRY_BOX_PURPLE,,<:JERRY_BOX_PURPLE:828891142404833280>
ENCHANTED_EYE_OF_ENDER,,<:ENCHANTED_EYE_OF_ENDER:828891147699093545>
SHARK_BAIT,,<:SHARK_BAIT:828891154648924160>
RED_GIFT,,<:RED_GIFT:828891161015222282>
ENCHANTED_MITHRIL,,<:ENCHANTED_MITHRIL:828890395928559666>
JERRY_BOX_BLUE,,<:JERRY_BOX_BLUE:828890415381479445>
ENCHANTED_RAW_BEEF,,<:ENCHANTED_RAW_BEEF:828890431315247134>
ENCHANTED_FEATHER,,<:ENCHANTED_FEATHER:828890448533520474>
ENCHANTED_SLIME_BLOCK,,<:ENCHANTED_SLIME_BLOCK:828890467018080279>
ENCHANTED_OAK_LOG,,<:ENCHANTED_OAK_LOG:828890485225553961>
WHITE_GIFT,,<:WHITE_GIFT:828890502932725761>
DARK_BAIT,,<:DARK_BAIT:828890521136922644>
ENCHANTED_CARROT,,<:ENCHANTED_CARROT:828890537825796116>
ENCHANTED_PUMPKIN,,<:ENCHANTED_PUMPKIN:828890554997276702>
GRIFFIN_FEATHER,,<:GRIFFIN_FEATHER:828890573842677811>
ENCHANTED_COOKED_FISH,,<:ENCHANTED_COOKED_FISH:828890589465673749>
OBSIDIAN,,<:OBSIDIAN:828890609657184286>
MINNOW_BAIT,,<:MINNOW_BAIT:828890654716461076>
ENCHANTED_MAGMA_CREAM,,<:ENCHANTED_MAGMA_CREAM:828890704532471829>
ENCHANTED_FIREWORK_ROCKET,,<:ENCHANTED_FIREWORK_ROCKET:828890743015604265>
STARFALL,,<:STARFALL:828890773034237962>
ENCHANTED_COOKED_MUTTON,,<:ENCHANTED_COOKED_MUTTON:828890789811322901>
REFINED_TITANIUM,,<:REFINED_TITANIUM:828890806991585321>
ENCHANTED_RABBIT,,<:ENCHANTED_RABBIT:828890824753414155>
MUTANT_NETHER_STALK,,<:MUTANT_NETHER_STALK:828890841677824030>
ENCHANTED_BREAD,,<:ENCHANTED_BREAD:828890857759178753>
ENCHANTED_CHARCOAL,,<:ENCHANTED_CHARCOAL:828890877518282762>
ENCHANTED_BLAZE_POWDER,,<:ENCHANTED_BLAZE_POWDER:828890893129875457>
SUMMONING_EYE,,<:SUMMONING_EYE:828890911760187432>
FISH_BAIT,,<:FISH_BAIT:828890931528204298>
SNOW_BLOCK,,<:SNOW_BLOCK:828890946392817684>
ENCHANTED_BAKED_POTATO,,<:ENCHANTED_BAKED_POTATO:828890965527625778>
COMPACTOR,,<:COMPACTOR:828890981364662274>
ENCHANTED_DIAMOND,,<:ENCHANTED_DIAMOND:828890994580783114>
